IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,AFR,Africa,Country,KEN,Kenya,Year,2012,false,,,,,,,,,,,,,496.6,,,390.3,,623.6,497 [390 – 624],,,EN,2025-04-09T21:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,KEN,Kenya,Year,2012,false,,,,,,,,,,,,,7340,,,5768,,9216,7340 [5768-9216],,,EN,2025-04-09T21:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,AFR,Africa,Country,KEN,Kenya,Year,2011,false,,,,,,,,,,,,,494.8,,,391.1,,617.1,495 [391 – 617],,,EN,2025-04-09T21:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,KEN,Kenya,Year,2011,false,,,,,,,,,,,,,7406,,,5855,,9238,7406 [5855-9238],,,EN,2025-04-09T21:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,AFR,Africa,Country,KEN,Kenya,Year,2010,false,,,,,,,,,,,,,498.4,,,398.4,,619.2,498 [398 – 619],,,EN,2025-04-09T21:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,KEN,Kenya,Year,2010,false,,,,,,,,,,,,,7519,,,6011,,9341,7519 [6011-9341],,,EN,2025-04-09T21:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,AFR,Africa,Country,KEN,Kenya,Year,2009,false,,,,,,,,,,,,,498.3,,,400.6,,621,498 [401 – 621],,,EN,2025-04-09T21:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,KEN,Kenya,Year,2009,false,,,,,,,,,,,,,7484,,,6017,,9327,7484 [6017-9327],,,EN,2025-04-09T21:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,AFR,Africa,Country,KEN,Kenya,Year,2008,false,,,,,,,,,,,,,484,,,389.6,,599.6,484 [390 – 600],,,EN,2025-04-09T21:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,KEN,Kenya,Year,2008,false,,,,,,,,,,,,,7182,,,5782,,8898,7182 [5782-8898],,,EN,2025-04-09T21:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,AFR,Africa,Country,KEN,Kenya,Year,2007,false,,,,,,,,,,,,,474.9,,,383,,583.5,475 [383 – 583],,,EN,2025-04-09T21:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,KEN,Kenya,Year,2007,false,,,,,,,,,,,,,6918,,,5579,,8500,6918 [5579-8500],,,EN,2025-04-09T21:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,AFR,Africa,Country,KEN,Kenya,Year,2006,false,,,,,,,,,,,,,449.6,,,364,,549.9,450 [364 – 550],,,EN,2025-04-09T21:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,KEN,Kenya,Year,2006,false,,,,,,,,,,,,,6387,,,5170,,7812,6387 [5170-7812],,,EN,2025-04-09T21:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,AFR,Africa,Country,KEN,Kenya,Year,2005,false,,,,,,,,,,,,,433.6,,,352.6,,527.6,434 [353 – 528],,,EN,2025-04-09T21:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,KEN,Kenya,Year,2005,false,,,,,,,,,,,,,6019,,,4895,,7324,6019 [4895-7324],,,EN,2025-04-09T21:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,AFR,Africa,Country,KEN,Kenya,Year,2004,false,,,,,,,,,,,,,426,,,346.7,,520.2,426 [347 – 520],,,EN,2025-04-09T21:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,KEN,Kenya,Year,2004,false,,,,,,,,,,,,,5783,,,4706,,7060,5783 [4706-7060],,,EN,2025-04-09T21:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,AFR,Africa,Country,KEN,Kenya,Year,2003,false,,,,,,,,,,,,,428.8,,,352.2,,522.9,429 [352 – 523],,,EN,2025-04-09T21:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,KEN,Kenya,Year,2003,false,,,,,,,,,,,,,5693,,,4676,,6944,5693 [4676-6944],,,EN,2025-04-09T21:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,AFR,Africa,Country,KEN,Kenya,Year,2002,false,,,,,,,,,,,,,436.4,,,358.8,,535,436 [359 – 535],,,EN,2025-04-09T21:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,KEN,Kenya,Year,2002,false,,,,,,,,,,,,,5687,,,4676,,6972,5687 [4676-6972],,,EN,2025-04-09T21:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,AFR,Africa,Country,KEN,Kenya,Year,2001,false,,,,,,,,,,,,,433.4,,,356.1,,530.3,433 [356 – 530],,,EN,2025-04-09T21:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,KEN,Kenya,Year,2001,false,,,,,,,,,,,,,5507,,,4525,,6739,5507 [4525-6739],,,EN,2025-04-09T21:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,AFR,Africa,Country,KEN,Kenya,Year,2000,false,,,,,,,,,,,,,445.1,,,365.1,,543.8,445 [365 – 544],,,EN,2025-04-09T21:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,KEN,Kenya,Year,2000,false,,,,,,,,,,,,,5488,,,4502,,6705,5488 [4502-6705],,,EN,2025-04-09T21:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,AFR,Africa,Country,KEN,Kenya,Year,1999,false,,,,,,,,,,,,,447.8,,,366.8,,547.9,448 [367 – 548],,,EN,2025-04-09T21:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,KEN,Kenya,Year,1999,false,,,,,,,,,,,,,5369,,,4398,,6569,5369 [4398-6569],,,EN,2025-04-09T21:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,AFR,Africa,Country,KEN,Kenya,Year,1998,false,,,,,,,,,,,,,463.9,,,379.8,,570.1,464 [380 – 570],,,EN,2025-04-09T21:00:00.000Z
